,date,age,type,quantity,weight,price_min,price_max,price_avg,price_unit,category
0,2013-01-08,2 3/4,HV,5,370,2580,2580,2580,954600,HEMBRA DE 1a
1,2013-01-08,XX,VE,76,472,2380,2740,2557,1210308,HEMBRA DE 1a
2,2013-01-08,XX,BH,1,404,1000,1000,1000,404000,HEMBRA DE 1a
3,2013-01-08,XX,TO,8,647,2680,2860,2765,1785980,MACHO DE 1a
4,2013-01-08,2,HV,1,268,1800,1800,1800,482400,HEMBRA DE 2a
5,2013-01-08,2 1/4,HV,1,298,2200,2200,2200,655600,HEMBRA DE 2a
6,2013-01-08,2 1/2,HV,10,345,2340,2400,2373,816368,HEMBRA DE 2a
7,2013-01-08,2 3/4,HV,1,364,2600,2600,2600,946400,HEMBRA DE 2a
8,2013-01-08,XX,VE,163,391,1950,2560,2279,903677,HEMBRA DE 2a
9,2013-01-08,2 1/2,MC,1,342,2550,2550,2550,872100,MACHO DE 2a
10,2013-01-08,2 3/4,MC,1,396,2640,2640,2640,1045440,MACHO DE 2a
11,2013-01-08,XX,TO,3,507,2740,2780,2760,1399293,MACHO DE 2a
0,2013-01-10,DEST,HL,18,127,2100,2100,2100,266467,HEMBRA DE 1a
1,2013-01-10,1 1/4,HL,17,155,2300,2300,2300,355553,HEMBRA DE 1a
2,2013-01-10,1 1/2,HL,25,208,2100,2250,2175,444492,HEMBRA DE 1a
3,2013-01-10,1 3/4,HL,17,229,2050,2150,2100,485518,HEMBRA DE 1a
4,2013-01-10,2,HV,18,278,2350,2350,2350,654083,HEMBRA DE 1a
5,2013-01-10,2,HL,18,267,2300,2300,2300,614611,HEMBRA DE 1a
6,2013-01-10,2 1/4,HV,12,283,2350,2350,2350,665050,HEMBRA DE 1a
7,2013-01-10,2 1/4,HL,5,282,2100,2100,2100,592200,HEMBRA DE 1a
8,2013-01-10,1 1/4,ML,45,165,2700,2850,2783,459371,MACHO DE 1a
9,2013-01-10,1 1/2,ML,177,202,2750,3200,3006,607059,MACHO DE 1a
10,2013-01-10,1 3/4,ML,72,241,2800,3000,2888,700174,MACHO DE 1a
11,2013-01-10,2,MC,148,263,2600,2950,2793,733855,MACHO DE 1a
12,2013-01-10,2 1/4,MC,84,296,2660,2900,2766,825719,MACHO DE 1a
13,2013-01-10,2 1/2,MC,62,342,2660,2880,2752,954953,MACHO DE 1a
14,2013-01-10,2 3/4,MC,47,381,2700,2800,2747,1049547,MACHO DE 1a
15,2013-01-10,DEST,HL,5,121,2250,2350,2300,277460,HEMBRA DE 2a
16,2013-01-10,1 1/4,HL,1,164,2000,2000,2000,328000,HEMBRA DE 2a
17,2013-01-10,1 1/2,HL,3,202,1700,1900,1800,371267,HEMBRA DE 2a
18,2013-01-10,2,HL,3,261,2250,2250,2250,588000,HEMBRA DE 2a
19,2013-01-10,XX,VE,29,394,2040,2220,2130,839640,HEMBRA DE 2a
20,2013-01-10,1,ML,11,146,2450,2800,2617,375500,MACHO DE 2a
21,2013-01-10,1 1/4,ML,80,164,2350,2600,2500,410825,MACHO DE 2a
22,2013-01-10,1 1/2,ML,148,200,1900,2700,2390,499548,MACHO DE 2a
23,2013-01-10,1 3/4,ML,126,239,2100,2700,2500,584567,MACHO DE 2a
24,2013-01-10,2,MC,35,276,2400,2600,2500,699943,MACHO DE 2a
25,2013-01-10,2 1/4,MC,88,300,2000,2700,2506,774230,MACHO DE 2a
26,2013-01-10,2 1/2,MC,2,332,2360,2360,2360,783520,MACHO DE 2a
27,2013-01-10,2 3/4,MC,17,389,2720,2720,2720,1058880,MACHO DE 2a
0,2013-01-15,2 1/4,HV,2,313,2200,2200,2200,688600,HEMBRA DE 1a
1,2013-01-15,2 1/2,HV,13,347,2380,2380,2380,826043,HEMBRA DE 1a
2,2013-01-15,2 3/4,HV,5,380,2380,2380,2380,903448,HEMBRA DE 1a
3,2013-01-15,3,HV,17,452,2580,2620,2595,1174259,HEMBRA DE 1a
4,2013-01-15,XX,VE,22,501,2380,2660,2525,1281695,HEMBRA DE 1a
5,2013-01-15,XX,TO,9,580,2400,2980,2660,1544969,HEMBRA DE 1a
6,2013-01-15,2 1/4,HV,6,315,2200,2200,2200,692267,HEMBRA DE 2a
7,2013-01-15,2 1/2,HV,16,339,2360,2360,2360,800630,HEMBRA DE 2a
8,2013-01-15,XX,VE,69,413,1100,2460,2107,906671,HEMBRA DE 2a
9,2013-01-15,2 3/4,MC,6,385,2700,2700,2700,1039500,MACHO DE 2a
10,2013-01-15,XX,TO,2,418,2800,2800,2800,1170400,MACHO DE 2a
0,2013-01-17,DEST,HL,6,127,2200,2200,2200,278667,HEMBRA DE 1a
1,2013-01-17,1,HL,20,140,2000,2200,2117,303275,HEMBRA DE 1a
2,2013-01-17,1 1/4,HL,51,167,2100,2300,2162,357829,HEMBRA DE 1a
3,2013-01-17,1 1/2,HL,122,203,2050,2350,2162,444841,HEMBRA DE 1a
4,2013-01-17,1 3/4,HL,37,235,1900,2300,2138,520800,HEMBRA DE 1a
5,2013-01-17,2,HV,43,259,2000,2400,2250,612235,HEMBRA DE 1a
6,2013-01-17,2 1/4,HV,31,300,2240,2350,2310,699353,HEMBRA DE 1a
